Regio;Inwonersaantal
Aa en Hunze;25853
Aalburg;
Aalsmeer;33354
Aalten;27308
Ter Aar;
Abcoude;
Achtkarspelen;28226
Alblasserdam;20306
Albrandswaard;26431
Alkemade;
Alkmaar;112311
Almelo;74355
Almere;226630
Alphen aan den Rijn;114968
Alphen-Chaam;10492
Altena;58293
Ambt Montfort;
Ameland;3832
Amerongen;
Amersfoort;161825
Amstelveen;95007
Amsterdam;934927
Andijk;
Angerlo;
Anna Paulowna;
Apeldoorn;168212
Appingedam;
Arcen en Velden;
Arnhem;167651
Assen;69691
Asten;17294
Axel;
Baarle-Nassau;7077
Baarn;25062
Barendrecht;48689
Barneveld;62603
Bathmen;
Bedum;
Beek (L.);16216
Beekdaelen;35892
Beemster;
Beesel;13393
Bellingwedde;
Bemmel;
Bennebroek;
Berg en Dal;35478
Bergambacht;
Bergeijk;19193
Bergen (L.);13151
Bergen (NH.);29933
Bergen op Zoom;69663
Bergh;
Bergschenhoek;
Berkel en Rodenrijs;
Berkelland;43928
Bernheze;32521
Bernisse;
Best;31220
Beuningen;26723
Beverwijk;42893
het Bildt;
De Bilt;43709
Binnenmaas;
Bladel;20980
Blaricum;12725
Bleiswijk;
Bloemendaal;23782
Boarnsterhim;
Bodegraven;
Bodegraven-Reeuwijk;36563
Boekel;11302
Ten Boer;
Bolsward;
Borculo;
Borger-Odoorn;26014
Borne;24632
Borsele;23116
Boskoop;
Boxmeer;
Boxtel;33934
Breda;188217
Breukelen;
Brielle;
Bronckhorst;36118
Brummen;21282
Brunssum;27773
Bunnik;16116
Bunschoten;22620
Buren;27777
Bussum;
Capelle aan den IJssel;67948
Castricum;36369
Coevorden;35723
Cranendonck;20866
Cromstrijen;
Cuijk;
Culemborg;29931
Dalfsen;29684
Dantumadeel;
Dantumadiel;19135
Delft;109573
Delfzijl;
Denekamp;
Deurne;33183
Deventer;103402
Didam;
Diemen;33012
Dijk en Waard;90050
Dinkelland;26741
Dinxperlo;
Dirksland;
Doesburg;11081
Doetinchem;59613
Dongen;27096
Dongeradeel;
Doorn;
Dordrecht;122089
Drechterland;20498
Driebergen-Rijsenburg;
Drimmelen;28193
Dronten;44337
Druten;19581
Duiven;24869
Echt;
Echt-Susteren;32037
Edam-Volendam;36920
Ede;123489
Eemnes;9757
Eemsdelta;45098
Eemsmond;
Eersel;20188
Eibergen;
Eijsden;
Eijsden-Margraten;26034
Eindhoven;246443
Elburg;23906
Emmen;109361
Enkhuizen;18901
Enschede;161741
Epe;33168
Ermelo;27859
Etten-Leur;45232
Ferwerderadiel;
Franekeradeel;
De Friese Meren;
De Fryske Marren;51928
Gaasterlân-Sleat;
Geertruidenberg;22061
Geldermalsen;
Geldrop;
Geldrop-Mierlo;40736
Gemert-Bakel;31428
Gendringen;
Gennep;17790
Giessenlanden;
Gilze en Rijen;27359
Goedereede;
Goeree-Overflakkee;51860
Goes;39677
Goirle;24328
Gooise Meren;60353
Gorinchem;38682
Gorssel;
Gouda;75763
Graafstroom;
Graft-De Rijp;
Grave;
's-Gravendeel;
's-Gravenhage (gemeente);565701
's-Gravenzande;
Groenlo;
Groesbeek;
Groningen (gemeente);243833
Grootegast;
Gulpen-Wittem;14056
Haaksbergen;24360
Haaren;
Haarlem;167763
Haarlemmerliede en Spaarnwoude;
