,Station,Population
0,'s-Hertogenbosch,160740.0
1,'s-Hertogenbosch Oost,160740.0
2,'t Harde,
3,Aachen Hbf,
4,Abcoude,
5,Akkrum,
6,Alkmaar,112311.0
7,Alkmaar Noord,112311.0
8,Almelo,74355.0
9,Almelo de Riet,74355.0
10,Almere Buiten,226630.0
11,Almere Centrum,226630.0
12,Almere Muziekwijk,226630.0
13,Almere Oostvaarders,226630.0
14,Almere Poort,226630.0
15,Alphen a/d Rijn,114968.0
16,Amersfoort Centraal,161825.0
17,Amersfoort Schothorst,161825.0
18,Amersfoort Vathorst,161825.0
19,Amsterdam Amstel,934927.0
20,Amsterdam Bijlmer ArenA,934927.0
21,Amsterdam Centraal,934927.0
22,Amsterdam Holendrecht,934927.0
23,Amsterdam Lelylaan,934927.0
24,Amsterdam Muiderpoort,934927.0
25,Amsterdam Noord Metro,934927.0
26,Amsterdam RAI,934927.0
27,Amsterdam Science Park,934927.0
28,Amsterdam Sloterdijk,934927.0
29,Amsterdam Zuid,934927.0
30,Anna Paulowna,
31,Antwerpen-Berchem,
32,Antwerpen-Centraal,38364.0
33,Antwerpen-Noorderdokken,
34,Apeldoorn,168212.0
35,Apeldoorn Osseveld,168212.0
36,Arkel,31428.0
37,Arnemuiden,
38,Arnhem Centraal,167651.0
39,Arnhem Presikhaaf,167651.0
40,Arnhem Velperpoort,167651.0
41,Arnhem Zuid,167651.0
42,Assen,69691.0
43,Baarn,25062.0
44,Bad Bentheim,
45,Baflo,
46,Barendrecht,48689.0
47,Barneveld Centrum,62603.0
48,Barneveld Zuid,62603.0
49,Basel Bad Bf,
50,Basel SBB,
51,Beek-Elsloo,16216.0
52,Beilen,
53,Bergen op Zoom,69663.0
54,Berlin Gesundbrunnen,
55,Berlin Hbf,
56,Berlin Ostbahnhof,
57,Best,31220.0
58,Beverwijk,42893.0
59,Bielefeld Hbf,
60,Bilthoven,26864.0
61,Blerick,
62,Bloemendaal,23782.0
63,Bodegraven,
64,Borne,24632.0
65,Boskoop,
66,Bourg-St-Maurice,
67,Bovenkarspel Flora,
68,Bovenkarspel-Grootebroek,
69,Boxtel,33934.0
70,Breda,188217.0
71,Breda-Prinsenbeek,188217.0
72,Breukelen,
73,Brummen,21282.0
74,Brussel-Centraal,38364.0
75,Brussel-Noord,
76,Brussel-Zuid Midi,
77,Brussel-Zuid/Midi,
78,Buitenpost,
79,Bunde,
80,Bunnik,16116.0
81,Bussum Zuid,
82,Capelle Schollevaar,13011.0
83,Capelsebrug,
84,Castricum,36369.0
85,Culemborg,29931.0
86,Dalfsen,29684.0
87,De Vink,
88,Delft,109573.0
89,Delft Campus,109573.0
90,Delft Zuid,109573.0
91,Delfzijl,
92,Den Dolder,114968.0
93,Den Haag Centraal,56452.0
94,Den Haag HS,114968.0
